flight_type,airline,price,is_lowest_price,price_level,typical_price_min,typical_price_max,total_duration_minutes,num_layovers,booking_token,departure_token,timestamp,departure_airport,departure_airport_code,departure_time,arrival_airport,arrival_airport_code,arrival_time
best_flight,Air Europa,107,Yes,high,45,90,90,0,N/A,WyJDalJJYVdaWFVFdGZhRjlKTjAxQlEyNXVjMmRDUnkwdExTMHRMUzB0TFhaMFltTnJNa0ZCUVVGQlIyWkJkM05KVEZad1YwZEJFZ1pWV0RjM01EZ2FDZ2pKVXhBQ0dnTlZVMFE0SEhESlV3PT0iLFtbIkJDTiIsIjIwMjUtMDMtMDciLCJNQUQiLG51bGwsIlVYIiwiNzcwOCJdXV0=,2025-02-27 20:53:38,Josep Tarradellas Barcelona-El Prat Airport,BCN,2025-03-07 20:30,Adolfo Suárez Madrid–Barajas Airport,MAD,2025-03-07 22:00
best_flight,Iberia,120,No,N/A,45,90,85,0,N/A,WyJDalJJYVdaWFVFdGZhRjlKTjAxQlEyNXVjMmRDUnkwdExTMHRMUzB0TFhaMFltTnJNa0ZCUVVGQlIyWkJkM05KVEZad1YwZEJFZ1ZKUWpReU5ob0tDS3RkRUFJYUExVlRSRGdjY0t0ZCIsW1siQkNOIiwiMjAyNS0wMy0wNyIsIk1BRCIsbnVsbCwiSUIiLCI0MjYiXV1d,2025-02-27 20:53:38,Josep Tarradellas Barcelona-El Prat Airport,BCN,2025-03-07 07:00,Adolfo Suárez Madrid–Barajas Airport,MAD,2025-03-07 08:25
best_flight,Vueling,126,No,N/A,45,90,80,0,N/A,WyJDalJJYVdaWFVFdGZhRjlKTjAxQlEyNXVjMmRDUnkwdExTMHRMUzB0TFhaMFltTnJNa0ZCUVVGQlIyWkJkM05KVEZad1YwZEJFZ1pXV1RFd01EWWFDZ2kzWWhBQ0dnTlZVMFE0SEhDM1lnPT0iLFtbIkJDTiIsIjIwMjUtMDMtMDciLCJNQUQiLG51bGwsIlZZIiwiMTAwNiJdXV0=,2025-02-27 20:53:38,Josep Tarradellas Barcelona-El Prat Airport,BCN,2025-03-07 16:20,Adolfo Suárez Madrid–Barajas Airport,MAD,2025-03-07 17:40
other_flight,Iberia,124,No,N/A,45,90,85,0,N/A,WyJDalJJYVdaWFVFdGZhRjlKTjAxQlEyNXVjMmRDUnkwdExTMHRMUzB0TFhaMFltTnJNa0ZCUVVGQlIyWkJkM05KVEZad1YwZEJFZ1ZKUWpReU1ob0tDTXRnRUFJYUExVlRSRGdjY010ZyIsW1siQkNOIiwiMjAyNS0wMy0wNyIsIk1BRCIsbnVsbCwiSUIiLCI0MjIiXV1d,2025-02-27 20:53:38,Josep Tarradellas Barcelona-El Prat Airport,BCN,2025-03-07 19:55,Adolfo Suárez Madrid–Barajas Airport,MAD,2025-03-07 21:20
other_flight,Iberia,129,No,N/A,45,90,85,0,N/A,WyJDalJJYVdaWFVFdGZhRjlKTjAxQlEyNXVjMmRDUnkwdExTMHRMUzB0TFhaMFltTnJNa0ZCUVVGQlIyWkJkM05KVEZad1YwZEJFZ1ZKUWpReE5Cb0tDTlJrRUFJYUExVlRSRGdjY05SayIsW1siQkNOIiwiMjAyNS0wMy0wNyIsIk1BRCIsbnVsbCwiSUIiLCI0MTQiXV1d,2025-02-27 20:53:38,Josep Tarradellas Barcelona-El Prat Airport,BCN,2025-03-07 15:15,Adolfo Suárez Madrid–Barajas Airport,MAD,2025-03-07 16:40
other_flight,Iberia,129,No,N/A,45,90,85,0,N/A,WyJDalJJYVdaWFVFdGZhRjlKTjAxQlEyNXVjMmRDUnkwdExTMHRMUzB0TFhaMFltTnJNa0ZCUVVGQlIyWkJkM05KVEZad1YwZEJFZ1ZKUWpReE5ob0tDTlJrRUFJYUExVlRSRGdjY05SayIsW1siQkNOIiwiMjAyNS0wMy0wNyIsIk1BRCIsbnVsbCwiSUIiLCI0MTYiXV1d,2025-02-27 20:53:38,Josep Tarradellas Barcelona-El Prat Airport,BCN,2025-03-07 16:55,Adolfo Suárez Madrid–Barajas Airport,MAD,2025-03-07 18:20
other_flight,Iberia,135,No,N/A,45,90,85,0,N/A,WyJDalJJYVdaWFVFdGZhRjlKTjAxQlEyNXVjMmRDUnkwdExTMHRMUzB0TFhaMFltTnJNa0ZCUVVGQlIyWkJkM05KVEZad1YwZEJFZ1ZKUWpReE9Cb0tDTnhvRUFJYUExVlRSRGdjY054byIsW1siQkNOIiwiMjAyNS0wMy0wNyIsIk1BRCIsbnVsbCwiSUIiLCI0MTgiXV1d,2025-02-27 20:53:38,Josep Tarradellas Barcelona-El Prat Airport,BCN,2025-03-07 18:00,Adolfo Suárez Madrid–Barajas Airport,MAD,2025-03-07 19:25
other_flight,Iberia,135,No,N/A,45,90,85,0,N/A,WyJDalJJYVdaWFVFdGZhRjlKTjAxQlEyNXVjMmRDUnkwdExTMHRMUzB0TFhaMFltTnJNa0ZCUVVGQlIyWkJkM05KVEZad1YwZEJFZ1ZKUWpReU1Cb0tDTnhvRUFJYUExVlRSRGdjY054byIsW1siQkNOIiwiMjAyNS0wMy0wNyIsIk1BRCIsbnVsbCwiSUIiLCI0MjAiXV1d,2025-02-27 20:53:38,Josep Tarradellas Barcelona-El Prat Airport,BCN,2025-03-07 18:55,Adolfo Suárez Madrid–Barajas Airport,MAD,2025-03-07 20:20
other_flight,Iberia,135,No,N/A,45,90,85,0,N/A,WyJDalJJYVdaWFVFdGZhRjlKTjAxQlEyNXVjMmRDUnkwdExTMHRMUzB0TFhaMFltTnJNa0ZCUVVGQlIyWkJkM05KVEZad1YwZEJFZ1ZKUWpReU5Cb0tDTnhvRUFJYUExVlRSRGdjY054byIsW1siQkNOIiwiMjAyNS0wMy0wNyIsIk1BRCIsbnVsbCwiSUIiLCI0MjQiXV1d,2025-02-27 20:53:38,Josep Tarradellas Barcelona-El Prat Airport,BCN,2025-03-07 21:05,Adolfo Suárez Madrid–Barajas Airport,MAD,2025-03-07 22:30
other_flight,Iberia,151,No,N/A,45,90,85,0,N/A,WyJDalJJYVdaWFVFdGZhRjlKTjAxQlEyNXVjMmRDUnkwdExTMHRMUzB0TFhaMFltTnJNa0ZCUVVGQlIyWkJkM05KVEZad1YwZEJFZ1ZKUWpRd05Cb0tDTjUxRUFJYUExVlRSRGdjY041MSIsW1siQkNOIiwiMjAyNS0wMy0wNyIsIk1BRCIsbnVsbCwiSUIiLCI0MDQiXV1d,2025-02-27 20:53:38,Josep Tarradellas Barcelona-El Prat Airport,BCN,2025-03-07 09:15,Adolfo Suárez Madrid–Barajas Airport,MAD,2025-03-07 10:40
