date,temperature_max,temperature_min,precipitation,year,city
2024-03-13,17.8,3.9,0.0,2024,MAD
2024-03-14,16.4,5.3,0.0,2024,MAD
2024-03-15,18.0,4.5,0.3,2024,MAD
2024-03-16,18.6,6.9,0.0,2024,MAD
2024-03-17,21.1,7.6,0.0,2024,MAD
2024-03-18,21.4,8.3,0.0,2024,MAD
2024-03-19,23.7,9.0,0.0,2024,MAD
2024-03-20,22.2,9.5,2.2,2024,MAD
2023-03-13,21.0,8.4,0.0,2023,MAD
2023-03-14,18.1,5.9,0.0,2023,MAD
2023-03-15,20.1,3.6,0.0,2023,MAD
2023-03-16,24.3,5.0,0.0,2023,MAD
2023-03-17,17.4,10.5,0.4,2023,MAD
2023-03-18,15.8,5.6,0.0,2023,MAD
2023-03-19,18.6,4.3,0.0,2023,MAD
2023-03-20,20.8,3.8,0.0,2023,MAD
2022-03-13,13.5,4.8,9.5,2022,MAD
2022-03-14,12.4,5.2,13.4,2022,MAD
2022-03-15,18.9,7.9,0.7,2022,MAD
2022-03-16,16.2,9.4,0.6,2022,MAD
2022-03-17,13.5,7.7,1.7,2022,MAD
2022-03-18,14.1,6.3,0.0,2022,MAD
2022-03-19,12.9,5.4,0.0,2022,MAD
2022-03-20,14.1,5.9,0.7,2022,MAD
2021-03-13,15.8,0.7,0.0,2021,MAD
2021-03-14,15.7,2.9,0.0,2021,MAD
2021-03-15,18.2,2.6,0.0,2021,MAD
2021-03-16,19.0,5.6,0.0,2021,MAD
2021-03-17,19.5,7.0,0.0,2021,MAD
2021-03-18,12.2,4.5,0.0,2021,MAD
2021-03-19,11.9,4.0,0.6,2021,MAD
2021-03-20,11.8,1.9,0.0,2021,MAD
2020-03-13,23.2,9.4,0.0,2020,MAD
2020-03-14,21.8,8.9,0.0,2020,MAD
2020-03-15,20.1,8.5,1.9,2020,MAD
2020-03-16,10.5,3.3,8.8,2020,MAD
2020-03-17,17.3,3.7,2.4,2020,MAD
2020-03-18,19.5,7.3,0.0,2020,MAD
2020-03-19,18.5,7.7,0.0,2020,MAD
2020-03-20,14.6,8.1,0.9,2020,MAD
