date,temperature_max,temperature_min,precipitation,year,city
2024-07-15,30.2,20.3,0.0,2024,Madrid
2024-07-16,32.9,16.8,0.0,2024,Madrid
2024-07-17,35.4,16.6,0.0,2024,Madrid
2024-07-18,36.8,20.2,0.0,2024,Madrid
2024-07-19,38.2,21.0,0.0,2024,Madrid
2024-07-20,35.3,21.7,0.0,2024,Madrid
2024-07-21,32.8,19.9,0.0,2024,Madrid
2024-07-22,35.3,17.7,0.0,2024,Madrid
2024-07-23,38.5,20.4,0.0,2024,Madrid
2024-07-24,40.3,24.1,0.0,2024,Madrid
2024-07-25,39.1,24.8,0.0,2024,Madrid
2023-07-15,32.0,21.1,0.0,2023,Madrid
2023-07-16,33.7,18.2,0.0,2023,Madrid
2023-07-17,38.2,19.0,0.1,2023,Madrid
2023-07-18,38.8,24.9,0.0,2023,Madrid
2023-07-19,37.6,25.3,0.0,2023,Madrid
2023-07-20,34.9,22.4,0.0,2023,Madrid
2023-07-21,31.8,20.3,0.0,2023,Madrid
2023-07-22,32.6,18.7,0.0,2023,Madrid
2023-07-23,35.2,20.2,0.0,2023,Madrid
2023-07-24,32.7,20.4,0.0,2023,Madrid
2023-07-25,31.7,17.5,0.0,2023,Madrid
2022-07-15,40.0,23.4,0.0,2022,Madrid
2022-07-16,39.6,23.8,0.0,2022,Madrid
2022-07-17,39.8,24.4,0.0,2022,Madrid
2022-07-18,40.2,24.0,0.0,2022,Madrid
2022-07-19,33.8,23.1,0.0,2022,Madrid
2022-07-20,36.4,20.1,0.0,2022,Madrid
2022-07-21,37.8,22.1,0.0,2022,Madrid
2022-07-22,37.8,23.5,0.0,2022,Madrid
2022-07-23,38.5,20.6,0.0,2022,Madrid
2022-07-24,39.6,22.2,0.0,2022,Madrid
2022-07-25,37.4,22.9,0.0,2022,Madrid
2021-07-15,31.3,15.8,0.0,2021,Madrid
2021-07-16,35.5,18.0,0.0,2021,Madrid
2021-07-17,37.8,20.1,0.0,2021,Madrid
2021-07-18,36.4,21.7,0.0,2021,Madrid
2021-07-19,36.4,20.2,0.0,2021,Madrid
2021-07-20,35.3,21.4,0.0,2021,Madrid
2021-07-21,36.5,20.4,0.0,2021,Madrid
2021-07-22,37.8,21.9,0.0,2021,Madrid
2021-07-23,33.0,21.3,0.0,2021,Madrid
2021-07-24,31.4,16.8,0.0,2021,Madrid
2021-07-25,30.3,16.7,0.2,2021,Madrid
2020-07-15,32.1,17.3,0.0,2020,Madrid
2020-07-16,34.5,18.5,0.0,2020,Madrid
2020-07-17,35.7,20.1,0.0,2020,Madrid
2020-07-18,35.4,17.5,0.0,2020,Madrid
2020-07-19,36.4,20.2,0.0,2020,Madrid
2020-07-20,36.7,21.4,0.0,2020,Madrid
2020-07-21,34.2,22.3,0.1,2020,Madrid
2020-07-22,32.7,22.1,0.0,2020,Madrid
2020-07-23,35.9,21.2,0.0,2020,Madrid
2020-07-24,36.4,23.1,0.0,2020,Madrid
2020-07-25,36.9,21.3,0.0,2020,Madrid
